timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m,estimator_visible
12.007,0.0,0.0,10.13,265.8,17.88789,True
12.969,-13.37414951174386,3.300622902077317,10.04,267.7,10.004037,True
13.981,-28.67701057765196,2.9900415226761097,9.88,271.2,6.9904585,True
14.976,-23.3161983595536,12.773911568405977,8.93,277.9,4.930045,True
16.128,-43.751356499220016,11.076289334000275,9.33,279.5,3.7900925,True
17.128,-52.03475714412929,12.65257332353511,8.15,282.0,3.7900925,True
18.117,-59.463139401416456,14.423666422020332,7.44,283.6,3.7900925,True
19.116,-67.25780191614193,16.319437350276292,7.83,284.7,3.7900925,True
20.121,-74.35926537767087,18.40222502301133,7.35,284.6,3.7900925,True
21.112,-80.79705088365438,19.562174117216717,6.37,280.4,3.7900925,True
22.119,-86.70236330311364,20.352542501681334,5.43,274.3,3.7900925,True
23.103,-89.24227086716228,20.66423707593115,2.65,286.1,3.7900925,True
24.094,-90.62538884803928,21.01600666703208,1.41,294.4,3.7900925,True
25.11,-92.70170587654874,21.41898322347016,2.11,289.4,3.7900925,True
26.138,-95.7554991723809,22.85166507009988,2.9,289.9,3.7900925,True
27.115,-100.18038333425336,22.965210950676457,4.61,271.9,3.7900925,True
28.114,-104.05092693073586,23.020870696116145,3.77,273.0,3.7900925,True
29.124,-108.27135017376862,23.12551101737281,4.41,272.9,3.7900925,True
30.128,-114.65228023943072,22.789326155214507,5.49,273.2,3.7900925,True
31.127,-120.44060164994912,22.738119189523296,5.76,271.0,3.7900925,True
32.13,-126.53069425879904,22.744798358791947,5.94,269.3,3.7900925,True
33.108,-133.31945278604113,22.439782954164848,6.32,268.6,3.7900925,True
34.111,-140.1257052960976,22.405273911910808,6.6,268.2,3.7900925,True
35.126,-147.0730030392043,21.99895777057285,6.84,266.2,3.7900925,True
36.111,-154.56589435838026,21.526963129626694,7.08,262.8,3.7900925,True
37.116,-161.91555369369829,20.59633218662573,7.33,263.9,3.7900925,True
38.12,-169.24990579700963,19.899472174223614,7.31,263.3,3.7900925,True
39.119,-176.03866432564277,19.144726026684605,6.83,263.7,3.7900925,True
40.109,-181.8258923628438,18.574770233750435,5.63,264.7,3.7900925,True
41.113,-187.51909024467804,18.264188854526257,5.48,266.9,3.7900925,True
42.103,-191.79964905354828,17.993682491799138,4.05,267.2,3.7900925,True
43.112,-196.7154580950212,17.806665747143033,4.58,267.0,3.7900925,True
44.124,-201.57550506949008,17.34023708097098,5.27,266.5,3.7900925,True
45.114,-207.19326015348025,16.980675125575765,5.47,265.9,3.7900925,True
46.1,-212.60983443858265,16.38177626516166,5.44,264.1,3.7900925,True
47.098,-218.9842042601677,15.60810580413421,5.62,267.1,3.7900925,True
48.11,-225.486498826649,15.448918932286464,6.41,274.9,3.7900925,True
49.116,-230.0032263972536,17.155446726189112,5.21,291.4,3.7900925,True
