timestamp_ns,elapsed_realtime_ns,latitude,longitude,altitude,speed_mps,bearing_deg,accuracy_m,bearing_accuracy_deg
125235204193484,125235168800464,10.82919869,77.05404244,244.57244873046875,6.99,339.2,3.7900925,5.3327527
125236204821401,125236169396192,10.82925802,77.05402159,245.017578125,7.12,338.8,3.7900925,5.180297
125237215987546,125237168823796,10.82932048,77.05400081,244.9688720703125,7.41,340.0,3.7900925,5.130123
125238199041869,125238168592650,10.82938473,77.05397817,245.25299072265625,7.5,337.8,3.7900925,5.004519
125239199063014,125239168938952,10.82944785,77.05395149,245.38671875,7.64,335.1,3.7900925,4.9138474
125240212531712,125240169434367,10.82950956,77.05392411,245.6318359375,7.61,334.6,3.7900925,4.798409
125241211670149,125241168951659,10.82957646,77.05389535,245.7154541015625,7.88,335.9,3.7900925,4.62638
125242188464836,125242169436867,10.82964393,77.0538678,246.08984375,8.04,332.9,3.7900925,4.5890574
125243211233481,125243169470878,10.82971071,77.05383333,246.20379638671875,8.16,330.6,3.7900925,4.505258
125244207062700,125244169177544,10.82977111,77.05381722,245.9727783203125,8.09,331.1,3.7900925,4.3376074
125245201448949,125245168974470,10.82983693,77.05377965,246.098388671875,8.27,331.6,3.7900925,4.2456164
125246218851032,125246169489365,10.82990462,77.05374136,246.350341796875,8.38,330.6,3.7900925,4.147607
125247216009782,125247169172230,10.82996404,77.05369949,248.0482177734375,8.15,330.1,3.7900925,4.064203
125248184560511,125248168647594,10.83002576,77.05366324,248.50079345703125,7.83,329.8,3.7900925,4.0245223
125249212752021,125249169161448,10.83008645,77.05363333,249.0928955078125,7.61,327.3,3.7900925,4.013776
125250210319052,125250168748323,10.83014636,77.05358539,249.23492431640625,7.97,325.2,3.7900925,3.96937
125251214214624,125251169161447,10.8302015,77.05354318,249.29986572265625,7.48,322.4,3.7900925,3.965737
125252198786134,125252169046395,10.83024885,77.05350222,249.4183349609375,6.91,316.4,3.7900925,4.0275373
125253216662123,125253169185092,10.83027533,77.05345563,250.21343994140625,6.44,309.8,3.7900925,8.3983965
125254191848790,125254168952019,10.83030083,77.05339885,250.56298828125,6.69,290.8,3.7900925,1.9911995
125255208700612,125255168957227,10.83032247,77.05334244,250.71746826171875,6.87,286.1,3.7900925,1.6100957
125256214371706,125256168976237,10.83033995,77.05328453,250.878173828125,6.61,282.2,3.7900925,5.846254
125257200500559,125257168623684,10.83035685,77.05322971,250.53955078125,7.12,278.7,3.7900925,4.985089
125258203045455,125258169430089,10.83036745,77.05316431,250.79669189453125,7.05,277.4,3.7900925,1.1029613
125259199198684,125259169133372,10.83037722,77.05310452,250.9912109375,6.1,278.3,3.7900925,1.0533597
125260203036965,125260168827850,10.83038364,77.05305744,251.02740478515625,4.76,277.4,3.7900925,1.644223
125261211414100,125261169245454,10.83038863,77.05302006,251.04730224609375,3.45,276.4,3.7900925,1.8804526
125262211116026,125262169052016,10.83039093,77.052986,251.04351806640625,3.02,271.5,3.7900925,1.7960459
125263191811182,125263169103370,10.83039363,77.05295393,250.57843017578125,3.34,274.1,3.7900925,1.6877544
125264200092171,125264168633630,10.83039535,77.05291973,250.80511474609375,4.04,270.2,3.7900925,1.4061365
