sensor_type,timestamp_ns,sensor_time_ns,val_x,val_y,val_z
ACCEL,110031576579107,110031574609681,0.08559271,-0.11611878,9.711481
GYRO,110031576664784,110031574609681,-6.6578976E-4,0.0010652636,0.0010652636
ACCEL,110031579100045,110031577116608,0.08080431,-0.12330139,9.718663
GYRO,110031579210045,110031577116608,-6.6578976E-4,0.0010652636,0.0010652636
ACCEL,110031582927180,110031579623535,0.08080431,-0.10175357,9.711481
GYRO,110031583037232,110031579623535,3.9947388E-4,-0.0,0.0021305273
ACCEL,110031584176399,110031582130462,0.06404489,-0.11133038,9.723452
GYRO,110031584274472,110031582130462,3.9947388E-4,0.0010652636,0.0010652636
ACCEL,110031586745409,110031584637389,0.0688333,-0.12330139,9.718663
GYRO,110031586867180,110031584637389,3.9947388E-4,0.0021305273,-0.0
ACCEL,110031589351086,110031587144316,0.08080431,-0.11133038,9.706693
GYRO,110031589449784,110031587144316,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031591641243,110031589651243,0.073621705,-0.108936176,9.718663
GYRO,110031591735670,110031589651243,-6.6578976E-4,0.0021305273,-0.0
ACCEL,110031594099836,110031592158170,0.08798691,-0.11611878,9.735423
GYRO,110031594189107,110031592158170,-0.0017310535,0.003195791,0.0010652636
ACCEL,110031596685566,110031594665097,0.08798691,-0.10654198,9.735423
GYRO,110031596771138,110031594665097,-6.6578976E-4,0.003195791,-0.0
ACCEL,110031599278378,110031597172024,0.095169514,-0.12569559,9.721058
GYRO,110031599384316,110031597172024,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031601733013,110031599678951,0.090381116,-0.11372458,9.704298
GYRO,110031601828534,110031599678951,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031604615566,110031602185878,0.08319851,-0.09696517,9.69951
GYRO,110031604725774,110031602185878,3.9947388E-4,0.0010652636,-0.0
ACCEL,110031606711295,110031604692806,0.08559271,-0.10414778,9.704298
GYRO,110031606809211,110031604692806,3.9947388E-4,0.0010652636,-0.0010652636
ACCEL,110031609318899,110031607199733,0.08319851,-0.12808979,9.704298
GYRO,110031609422857,110031607199733,-6.6578976E-4,0.0021305273,-0.0021305273
ACCEL,110031611638482,110031609706660,0.08798691,-0.12330139,9.709086
GYRO,110031611726816,110031609706660,0.0014647375,0.0010652636,-0.0021305273
ACCEL,110031614230513,110031612213587,0.090381116,-0.12090719,9.6923275
