timestamp_s,v_gt,h_gt,w_gnss,w_gyro_corr,w_snet,y_w_m030,nis_m030,actual_gate_applied,head_err_m028,head_err_m029,head_err_m030,pos_err_m030,w_gnss_degs,w_gyro_degs,w_snet_degs,y_w_degs
298.0,11.304388059701488,253.4,-0.0037821391529977433,-0.07497665625014628,-0.11331326514482498,-0.0383366088946787,12.030594707836405,ACCEPTED_INFLATED,7.115939631391399,34.51270029527845,31.172372720322727,109.89492884674574,-0.21670061099795462,-4.295845965136547,-6.492371855645328,-2.196525890508781
298.1,11.326278606965175,253.4,-0.006625852801867893,0.03185601390796289,-0.1109599694609642,-0.1428159833689271,166.02239309994502,REJECTED_OUTLIER,7.375829631500864,35.0947001491042,30.988324613623092,109.84759788002593,-0.37963340122196154,1.8252151490363255,-6.357537945013753,-8.182753094050078
298.2,11.351130346232173,253.33238289205704,-0.009469566450738043,-0.03894125833964714,-0.10735402256250381,-0.06841276422285666,37.798997697465595,REJECTED_OUTLIER,7.351072478450334,35.63164830586177,31.130059694968907,109.72199152809674,-0.5425661914459684,-2.231169751790401,-6.150932406583683,-3.9197626547932822
298.3,11.376588594704684,253.25091649694502,-0.012313280099609969,-0.04093201378129613,-0.11315793544054031,-0.07222592165924419,41.804444860762935,REJECTED_OUTLIER,7.3629384107954365,36.17997755023586,31.26396331413258,109.55394899626734,-0.7054989816700771,-2.34523163663959,-6.483472119156802,-4.138240482517212
298.4,11.402046843177182,253.16945010183304,-0.013976852584200117,0.03945601252105564,-0.1062537208199501,-0.14570973334100573,168.83853070621217,REJECTED_OUTLIER,7.750473702163674,36.64316344488395,30.9558879389067,109.38239463148456,-0.8008146639511847,2.2606629938718195,-6.087889760544466,-8.348552754416284
298.5,11.427505091649692,253.087983706721,-0.014218568244353413,-0.042641665370648264,-0.10176553577184677,-0.05912387040119851,27.58686530420084,REJECTED_OUTLIER,7.7232620786611506,37.146824702973305,31.109014686742114,109.20113590648172,-0.8146639511201872,-2.443187457147301,-5.830735699614425,-3.387548242467124
298.6,11.452963340122205,253.00651731160895,-0.014218568244353413,-0.019844422358757968,-0.09660940617322922,-0.07676498381447125,46.154352853370135,REJECTED_OUTLIER,7.8330836855968755,37.60999092711904,31.12955569528853,109.05920236965754,-0.8146639511201872,-1.1370016480318776,-5.5353112349911555,-4.398309586959278
298.7,11.478421588594701,252.92505091649696,-0.014218568244354302,0.0729363282540686,-0.08945535868406296,-0.16239168693813155,205.00545573695914,REJECTED_OUTLIER,8.339143299017167,37.98162874094703,30.64259937046873,108.99811162098078,-0.814663951120238,4.17894378213891,-5.1254145074257655,-9.304358289564677
298.8,11.503879837067213,252.8435845213849,-0.014209622574151481,-0.18008413392794703,-0.08935978263616562,0.09072435129178141,63.517764871671844,REJECTED_OUTLIER,7.705037033590145,38.512605979352,31.53727565651505,108.87311807236861,-0.8141514019727005,-10.318060831340041,-5.119938403258708,5.198122428081334
298.9,11.52933808553971,252.76211812627292,-0.013306109883741257,-0.04074613482463425,-0.10138996690511703,-0.06064383208048278,28.176299840676673,REJECTED_OUTLIER,7.853955352837829,38.98922636094403,31.634273806748354,108.78840195789714,-0.7623839380756845,-2.3345815569225694,-5.8092171886343,-3.4746356317117297
