timestamp_s,is_outage,gyro_z_raw,w_m,w_gyro_corr,bw_m030,w_snet,v_snet,prob_stat,a_long,a_lat,j_long,v_gt,h_gt,w_gnss,kinematic_yaw_rate,kin_residual_gyro,kin_residual_snet,y_w_m030,nis_m030,gate_status_m030,actual_gate_applied,anchor_src_m030,east_gt,north_gt,east_m028,north_m028,heading_m028,east_m029,north_m029,heading_m029,east_m030,north_m030,heading_m030,pos_err_m028,head_err_m028,pos_err_m029,head_err_m029,pos_err_m030,head_err_m030
12.0,False,-0.1365544135765621,-0.1131188504971788,-0.1131188504971788,0.0,0.0035853758454322815,12.545064926147461,4.467945473152213e-05,-0.8841630762933124,0.0514907572903327,-4.450636435078323,10.130654885654886,265.7861746361746,0.03447115986267413,0.005086588734001003,1.196575524410905,0.015196547731432149,0.11670422634261109,76.88140915489736,REJECTED_OUTLIER,GNSS_ACTIVE,SPEEDNET_YAW,0.09731709623929592,-0.024017006563971044,-0.8073400165826656,-0.059221637828540785,265.67050278996703,-0.8073400165826656,-0.059221637828540785,265.67050278996703,-0.8073400165826656,-0.059221637828540785,265.67050278996703,0.9053418458471042,0.11567184620759008,0.9053418458471042,0.11567184620759008,0.9053418458471042,0.11567184620759008
12.1,False,-0.060536886049467,-0.0371013229700837,-0.037044819152903155,-5.650381718054504e-05,-0.0027435198426246643,12.089391708374023,5.7732195273274556e-05,0.1127034241105415,0.3177869805408664,9.968665004038538,10.121299376299376,265.98367983367984,0.034471159862675016,0.03108199164926049,0.6965388107365238,0.34583714208392147,0.03430129931027849,6.605678612398543,ACCEPTED_INFLATED,GYRO_FALLBACK,GNSS_COURSE,-1.2929271357507057,0.3190830872070587,-1.8299443756593392,-0.1378982755849537,265.53595076811376,-1.8299443756593392,-0.1378982755849537,265.53595076811376,-1.8299443756593392,-0.1378982755849537,265.53595076811376,0.7051379169342205,0.4477290655660795,0.7051379169342205,0.4477290655660795,0.7051379169342205,0.4477290655660795
12.2,False,-0.1867400565226731,-0.1633044934432898,-0.16319701008109172,-0.00010748336219807455,-0.015598185360431671,11.386809349060059,8.922221604734659e-05,-0.831262451713598,-0.0535896434398625,-9.439658758241396,10.111943866943868,266.181185031185,0.03447115986267413,-0.005248454758201372,1.6127426359860277,0.1056765082723563,0.14759882472066005,121.68082078491511,REJECTED_OUTLIER,GYRO_FALLBACK,GNSS_COURSE,-2.6831713677407074,0.6621831809780884,-2.852938420295296,-0.22540371888904515,264.7337210072793,-2.852938420295296,-0.22540371888904515,264.7337210072793,-2.852938420295296,-0.22540371888904515,264.7337210072793,0.9036765776254363,1.4474640239056953,0.9036765776254363,1.4474640239056953,0.9036765776254363,1.4474640239056953
12.3,False,0.0736083221553471,0.0970438852347304,0.09743436487423199,-0.00039047963950158775,-0.014659486711025238,11.646883964538574,7.096077752066776e-05,-0.194645672547892,-0.8658095215673833,6.36616779165706,10.102588357588358,266.37869022869023,0.03447115986267413,-0.08413054860696825,1.8685321025181207,0.7149449024028185,-0.11209385158525723,69.85703977348922,REJECTED_OUTLIER,GYRO_FALLBACK,GNSS_COURSE,-4.073415599730734,1.0052832747491243,-3.890732659469961,-0.31092325282217437,265.29223413389496,-3.890732659469961,-0.31092325282217437,265.29223413389496,-3.890732659469961,-0.31092325282217437,265.29223413389496,1.3288237956492264,1.0864560947952668,1.3288237956492264,1.0864560947952668,1.3288237956492264,1.0864560947952668
12.4,False,-0.0319654357320154,-0.0085298726526321,-0.008138812641701484,-0.0003910600109306166,-0.023385636508464813,11.368040084838867,8.512842032359913e-05,-0.175807922930786,0.4798330992829136,0.1883774961710593,10.093232848232848,266.57619542619545,0.03447115986267413,0.04629481191554039,0.5641896725740052,0.7222188436084793,-0.01524682386676333,1.287352283505792,ACCEPTED_FULL,GYRO_FALLBACK,GNSS_COURSE,-5.463659831720736,1.348383368520154,-4.937448124712384,-0.3975861295236071,265.24831268507586,-4.937448124712384,-0.3975861295236071,265.24831268507586,-4.937448124712384,-0.3975861295236071,265.24831268507586,1.82354277402309,1.3278827411195948,1.82354277402309,1.3278827411195948,1.82354277402309,1.3278827411195948
12.5,False,-0.1511540004358267,-0.1277184373564434,-0.12730721361635888,-0.0004112237400845185,-0.026791535317897797,11.474464416503906,7.298812852241099e-05,-1.2245408775324145,-0.7369401505932764,-10.487329546016282,10.083877338877338,266.7737006237006,0.03447115986267413,-0.07115244985595759,0.5816061168082891,0.4594548621490087,0.10051567829846109,55.768522785496536,REJECTED_OUTLIER,GYRO_FALLBACK,GNSS_COURSE,-6.853904063710737,1.6914834622911836,-5.990091452857879,-0.49108475676915364,264.5540073143344,-5.990091452857879,-0.49108475676915364,264.5540073143344,-5.990091452857879,-0.49108475676915364,264.5540073143344,2.3472912596268585,2.219693309366221,2.3472912596268585,2.219693309366221,2.3472912596268585,2.219693309366221
12.6,False,0.0100827699751397,0.033518333054523,0.034311312662836685,-0.0007929796083136799,-0.015486590564250946,11.663459777832031,7.085407560225576e-05,-0.4119095027350206,-0.5950508827102505,8.126313747973937,10.07452182952183,266.97120582120584,0.03447115986267324,-0.056893567368336555,0.9539135420823748,0.4330763430269043,-0.04979790322708763,13.651268552373896,ACCEPTED_INFLATED,GYRO_FALLBACK,GNSS_COURSE,-8.24414829570074,2.034583556062213,-7.062095603795074,-0.586911351079686,264.76126597347064,-7.062095603795074,-0.586911351079686,264.76126597347064,-7.062095603795074,-0.586911351079686,264.76126597347064,2.8756710720477656,2.2099398477351997,2.8756710720477656,2.2099398477351997,2.8756710720477656,2.2099398477351997
12.7,False,0.0129070664803129,0.0363426295596961,0.03727994148897581,-0.000937311929279702,-0.0013229772448539734,11.738666534423828,7.738320709904656e-05,0.3794990442773989,0.0496697369079732,7.914085470124195,10.06516632016632,267.168711018711,0.03527378141524373,0.004665869731296227,0.3471876535334967,0.0637532701978914,-0.03860291873382978,8.185253333918093,ACCEPTED_INFLATED,GYRO_FALLBACK,GNSS_COURSE,-9.634392527690741,2.377683649833243,-8.156901907362144,-0.6838390771978097,264.9721926514524,-8.156901907362144,-0.6838390771978097,264.9721926514524,-8.156901907362144,-0.6838390771978097,264.9721926514524,3.399396996716717,2.196518367258591,3.399396996716717,2.196518367258591,3.399396996716717,2.196518367258591
12.8,False,-0.1121781975744155,-0.0887426344950322,-0.08783784189897437,-0.0009047925960578242,0.006104178726673126,12.834806442260742,4.126674684812315e-05,-0.7214334468642425,-0.1581177104454134,-11.009324911416414,10.05581081081081,267.36621621621623,0.038665504750303725,-0.014577542301083728,0.7946298902595086,0.22432768908765682,0.0939420206256475,48.387657084479926,REJECTED_OUTLIER,GYRO_FALLBACK,GNSS_COURSE,-11.024636759680767,2.720783743604279,-9.312184968590877,-0.7898044781360899,264.49067736288555,-9.312184968590877,-0.7898044781360899,264.49067736288555,-9.312184968590877,-0.7898044781360899,264.49067736288555,3.9059852533553143,2.8755388533306814,3.9059852533553143,2.8755388533306814,3.9059852533553143,2.8755388533306814
12.9,False,0.0206381487377235,0.0440737118171068,0.04528391056931586,-0.0012101987522090618,0.006068386137485504,13.186112403869629,2.951439455500804e-05,-1.08931482611709,-1.221398729895142,-3.6788137925284743,10.0464553014553,267.5637214137214,0.04384370831527917,-0.11104354224449285,1.7194890261526956,1.2881465926796227,-0.03921552443183036,8.421853200744913,ACCEPTED_INFLATED,GYRO_FALLBACK,GNSS_COURSE,-12.414880991670769,3.063883837375309,-10.482482303771732,-0.8970509429120754,264.75065047007115,-10.482482303771732,-0.8970509429120754,264.75065047007115,-10.482482303771732,-0.8970509429120754,264.75065047007115,4.407172452115322,2.8130709436502457,4.407172452115322,2.8130709436502457,4.407172452115322,2.8130709436502457
