timestamp_s,east_m,north_m,speed_mps,bearing_deg,accuracy_m
12.007,0.0,0.0,10.13,265.8,17.88789
12.969,-13.37414951174386,3.300622902077317,10.04,267.7,10.004037
13.981,-28.67701057765196,2.9900415226761097,9.88,271.2,6.9904585
14.976,-23.3161983595536,12.773911568405977,8.93,277.9,4.930045
16.128,-43.751356499220016,11.076289334000275,9.33,279.5,3.7900925
17.128,-52.03475714412929,12.65257332353511,8.15,282.0,3.7900925
18.117,-59.463139401416456,14.423666422020332,7.44,283.6,3.7900925
19.116,-67.25780191614193,16.319437350276292,7.83,284.7,3.7900925
20.121,-74.35926537767087,18.402225023011326,7.35,284.6,3.7900925
21.112,-80.79705088365438,19.562174117216713,6.37,280.4,3.7900925
22.119,-86.70236330311364,20.352542501681338,5.43,274.3,3.7900925
23.103,-89.24227086716228,20.66423707593115,2.65,286.1,3.7900925
24.094,-90.62538884803928,21.016006667032077,1.41,294.4,3.7900925
25.11,-92.70170587654874,21.41898322347016,2.11,289.4,3.7900925
26.138,-95.7554991723809,22.851665070099877,2.9,289.9,3.7900925
27.115,-100.18038333425335,22.965210950676457,4.61,271.9,3.7900925
28.114,-104.05092693073586,23.020870696116145,3.77,273.0,3.7900925
29.124,-108.27135017376862,23.12551101737281,4.41,272.9,3.7900925
30.128,-114.65228023943072,22.789326155214507,5.49,273.2,3.7900925
31.127,-120.44060164994912,22.738119189523296,5.76,271.0,3.7900925
32.13,-126.53069425879904,22.744798358791947,5.94,269.3,3.7900925
33.108,-133.31945278604113,22.439782954164848,6.32,268.6,3.7900925
34.111,-140.1257052960976,22.405273911910808,6.6,268.2,3.7900925
35.126,-147.0730030392043,21.998957770572854,6.84,266.2,3.7900925
36.111,-154.56589435838026,21.526963129626694,7.08,262.8,3.7900925
37.116,-161.91555369369829,20.596332186625734,7.33,263.9,3.7900925
38.12,-169.24990579700963,19.899472174223618,7.31,263.3,3.7900925
39.119,-176.03866432564277,19.144726026684605,6.83,263.7,3.7900925
40.109,-181.8258923628438,18.574770233750435,5.63,264.7,3.7900925
41.113,-187.51909024467804,18.264188854526257,5.48,266.9,3.7900925
42.103,-191.79964905354828,17.993682491799138,4.05,267.2,3.7900925
43.112,-196.7154580950212,17.806665747143033,4.58,267.0,3.7900925
44.124,-201.57550506949008,17.34023708097098,5.27,266.5,3.7900925
45.114,-207.19326015348022,16.980675125575765,5.47,265.9,3.7900925
46.1,-212.60983443858265,16.38177626516166,5.44,264.1,3.7900925
47.098,-218.9842042601677,15.60810580413421,5.62,267.1,3.7900925
48.11,-225.486498826649,15.448918932286464,6.41,274.9,3.7900925
49.116,-230.0032263972536,17.155446726189112,5.21,291.4,3.7900925
50.102,-234.5691557921763,20.556257169951646,5.15,316.4,3.7900925
51.111,-238.08981974071753,25.193827156367874,5.41,330.2,3.7900925
52.119,-240.76639904176506,30.498200892680654,5.82,334.3,3.7900925
53.102,-243.0745113373486,36.18328728739726,6.14,338.5,3.7900925
54.323,-245.4340122080579,41.61790482790083,5.88,339.6,3.7900925
55.154,-246.9778561514342,45.68329263168568,4.59,339.4,3.7900925
56.096,-248.15869996010616,48.7868800351154,3.45,339.3,3.7900925
57.1,-249.2914353177774,51.665602066912136,3.29,339.2,3.7900925
58.106,-250.4974267266581,56.01262818244123,4.25,340.6,3.7900925
59.116,-252.10031285977246,60.69249957540578,4.83,337.1,3.7900925
60.114,-254.09462684775184,65.86440311765354,5.39,336.1,3.7900925
61.112,-256.09112758514783,71.4359436319706,5.85,335.6,3.7900925
62.103,-258.4965501588323,77.39932875370862,6.27,335.3,3.7900925
63.11,-261.20155718143144,83.58980563659979,6.62,333.6,3.7900925
64.108,-263.9032840799057,90.11090140740626,6.84,336.9,3.7900925
65.113,-266.2420108464576,96.821240312389,6.99,339.2,3.7900925
66.113,-268.52169542188045,103.42582570108944,7.12,338.8,3.7900925
67.124,-270.7937263799089,110.37884109599095,7.41,340.0,3.7900925
68.107,-273.2691248848508,117.53111837941428,7.5,337.8,3.7900925
69.107,-276.186246440902,124.5576046383953,7.64,335.1,3.7900925
70.121,-279.1799041722877,131.4271304152258,7.61,334.6,3.7900925
71.12,-282.3244475007527,138.87440434928473,7.88,335.9,3.7900925
72.097,-285.3366925868791,146.38513039307765,8.04,332.9,3.7900925
73.12,-289.1055524106004,153.81904598842226,8.16,330.6,3.7900925
74.115,-290.8669777595794,160.54274323211934,8.09,331.1,3.7900925
